date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,is_friendly,match_id,home_form_goals_scored_8,away_form_goals_scored_8,home_form_goals_conceded_8,away_form_goals_conceded_8,home_form_win_rate_8,away_form_win_rate_8,home_form_clean_sheet_rate_8,away_form_clean_sheet_rate_8
2010-01-06,Bahrain,Hong Kong,4.0,0.0,AFC Asian Cup qualification,Riffa,Bahrain,False,False,0,,,,,,,,
2010-01-06,China PR,Syria,0.0,0.0,AFC Asian Cup qualification,Hangzhou,China PR,False,False,1,,,,,,,,
2010-01-06,Indonesia,Oman,1.0,2.0,AFC Asian Cup qualification,Jakarta,Indonesia,False,False,2,,,,,,,,
2010-01-06,Kuwait,Australia,2.0,2.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False,False,3,,,,,,,,
2010-01-06,Lebanon,Vietnam,1.0,1.0,AFC Asian Cup qualification,Sidon,Lebanon,False,False,4,,,,,,,,
2010-01-06,Singapore,Iran,1.0,3.0,AFC Asian Cup qualification,Singapore,Singapore,False,False,5,,,,,,,,
2010-01-06,Thailand,Jordan,0.0,0.0,AFC Asian Cup qualification,Bangkok,Thailand,False,False,6,,,,,,,,
2010-01-06,United Arab Emirates,Malaysia,1.0,0.0,AFC Asian Cup qualification,Dubai,United Arab Emirates,False,False,7,,,,,,,,
2010-01-06,Yemen,Japan,2.0,3.0,AFC Asian Cup qualification,Sana'a,Yemen,False,False,8,,,,,,,,
2010-01-10,Angola,Mali,4.0,4.0,African Cup of Nations,Luanda,Angola,False,False,9,,,,,,,,
2010-01-11,Ivory Coast,Burkina Faso,0.0,0.0,African Cup of Nations,Cabinda,Angola,True,False,10,,,,,,,,
2010-01-11,Malawi,Algeria,3.0,0.0,African Cup of Nations,Luanda,Angola,True,False,11,,,,,,,,
2010-01-12,Egypt,Nigeria,3.0,1.0,African Cup of Nations,Benguela,Angola,True,False,12,,,,,,,,
2010-01-12,Mozambique,Benin,2.0,2.0,African Cup of Nations,Benguela,Angola,True,False,13,,,,,,,,
2010-01-13,Cameroon,Gabon,0.0,1.0,African Cup of Nations,Lubango,Angola,True,False,14,,,,,,,,
2010-01-13,Zambia,Tunisia,1.0,1.0,African Cup of Nations,Lubango,Angola,True,False,15,,,,,,,,
2010-01-14,Angola,Malawi,2.0,0.0,African Cup of Nations,Luanda,Angola,False,False,16,4.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0
2010-01-14,Mali,Algeria,0.0,1.0,African Cup of Nations,Luanda,Angola,True,False,17,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
2010-01-15,Ivory Coast,Ghana,3.0,1.0,African Cup of Nations,Cabinda,Angola,True,False,18,0.0,,0.0,,0.0,,1.0,
2010-01-16,Egypt,Mozambique,2.0,0.0,African Cup of Nations,Benguela,Angola,True,False,19,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
2010-01-16,Nigeria,Benin,1.0,0.0,African Cup of Nations,Benguela,Angola,True,False,20,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0
2010-01-17,Cameroon,Zambia,3.0,2.0,African Cup of Nations,Lubango,Angola,True,False,21,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2010-01-17,Gabon,Tunisia,0.0,0.0,African Cup of Nations,Lubango,Angola,True,False,22,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
2010-01-17,Thailand,Singapore,1.0,0.0,King's Cup,Nakhon Ratchasima,Thailand,False,False,23,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
2010-01-17,Vietnam,China PR,1.0,2.0,AFC Asian Cup qualification,Hanoi,Vietnam,False,False,24,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2010-01-18,Angola,Algeria,0.0,0.0,African Cup of Nations,Luanda,Angola,False,False,25,2.9189189189189184,0.5405405405405405,1.8378378378378377,1.3783783783783783,0.5405405405405405,0.5405405405405405,0.5405405405405405,0.5405405405405405
2010-01-18,Mali,Malawi,3.0,1.0,African Cup of Nations,Cabinda,Angola,True,False,26,1.8378378378378377,1.3783783783783783,2.378378378378378,1.081081081081081,0.0,0.45945945945945943,0.0,0.45945945945945943
2010-01-19,Burkina Faso,Ghana,0.0,1.0,African Cup of Nations,Luanda,Angola,True,False,27,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
2010-01-20,Egypt,Benin,2.0,0.0,African Cup of Nations,Benguela,Angola,True,False,28,2.459459459459459,0.9189189189189189,0.45945945945945943,1.4594594594594592,0.9999999999999999,0.0,0.5405405405405405,0.0
2010-01-20,Nigeria,Mozambique,3.0,0.0,African Cup of Nations,Lubango,Angola,True,False,29,0.9999999999999999,0.9189189189189189,1.3783783783783783,1.9999999999999998,0.5405405405405405,0.0,0.5405405405405405,0.0
2010-01-20,Thailand,Poland,1.0,3.0,King's Cup,Nakhon Ratchasima,Thailand,False,False,30,0.5405405405405405,,0.0,,0.5405405405405405,,0.9999999999999999,
2010-01-20,Yemen,Bahrain,3.0,0.0,AFC Asian Cup qualification,Sana'a,Yemen,False,False,31,2.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0
2010-01-21,Cameroon,Tunisia,2.0,2.0,African Cup of Nations,Lubango,Angola,True,False,32,1.6216216216216215,0.45945945945945943,1.5405405405405403,0.45945945945945943,0.5405405405405405,0.0,0.0,0.5405405405405405
2010-01-21,Gabon,Zambia,1.0,2.0,African Cup of Nations,Benguela,Angola,True,False,33,0.45945945945945943,1.5405405405405403,0.0,2.0810810810810807,0.45945945945945943,0.0,0.9999999999999999,0.0
2010-01-23,Poland,Singapore,6.0,1.0,King's Cup,Nakhon Ratchasima,Thailand,True,False,34,3.0,0.45945945945945943,1.0,1.9189189189189189,1.0,0.0,0.0,0.0
2010-01-24,Angola,Ghana,0.0,1.0,African Cup of Nations,Luanda,Angola,False,False,35,1.7842565597667637,0.9999999999999999,1.1234207968901846,1.3783783783783783,0.3304178814382896,0.5405405405405405,0.7191448007774539,0.5405405405405405
2010-01-24,Ivory Coast,Algeria,2.0,3.0,African Cup of Nations,Cabinda,Angola,True,False,36,1.6216216216216215,0.3304178814382896,0.5405405405405405,0.8425655976676385,0.5405405405405405,0.3304178814382896,0.45945945945945943,0.7191448007774539
2010-01-25,Egypt,Cameroon,3.0,1.0,African Cup of Nations,Benguela,Angola,True,False,37,2.2808551992225463,1.7687074829931972,0.28085519922254615,1.719144800777454,1.0,0.3304178814382896,0.7191448007774539,0.0
2010-01-25,Zambia,Nigeria,0.0,0.0,African Cup of Nations,Lubango,Angola,True,False,38,1.719144800777454,1.7774538386783285,1.660835762876579,0.8425655976676385,0.38872691933916426,0.7191448007774539,0.0,0.7191448007774539
2010-01-28,Algeria,Egypt,0.0,4.0,African Cup of Nations,Benguela,Angola,True,False,39,1.1681638096732438,2.5065312046444124,1.205781979366885,0.5065312046444121,0.5405405405405406,1.0,0.4934687953555878,0.4934687953555878
2010-01-28,Ghana,Nigeria,1.0,0.0,African Cup of Nations,Luanda,Angola,True,False,40,1.0,1.219668144196446,0.8425655976676385,0.5781587102341819,0.7191448007774539,0.4934687953555878,0.7191448007774539,0.8072804299219394
2010-01-30,Nigeria,Algeria,1.0,0.0,African Cup of Nations,Benguela,Angola,True,False,41,0.8907952900413056,0.8531786491309968,0.6919045267711639,1.9592184448103325,0.3604092480210859,0.3947885085636379,0.5896043183047655,0.3604092480210859
2010-01-31,Ghana,Egypt,0.0,1.0,African Cup of Nations,Luanda,Angola,True,False,42,1.0,2.909232011136184,0.5781587102341819,0.36994949282164413,0.8072804299219394,1.0,0.8072804299219394,0.6300505071783559
2010-02-06,Japan,China PR,0.0,0.0,EAFF Championship,Tokyo,Japan,False,False,43,3.0,1.081081081081081,2.0,0.5405405405405405,1.0,0.5405405405405405,0.0,0.45945945945945943
2010-02-07,South Korea,Hong Kong,5.0,0.0,EAFF Championship,Tokyo,Japan,True,False,44,,0.0,,4.0,,0.0,,0.0
2010-02-10,China PR,South Korea,3.0,0.0,EAFF Championship,Tokyo,Japan,True,False,45,0.6608357628765792,5.0,0.3304178814382896,0.0,0.3304178814382896,1.0,0.6695821185617103,1.0
2010-02-11,Japan,Hong Kong,3.0,0.0,EAFF Championship,Tokyo,Japan,False,False,46,1.3783783783783783,0.0,0.9189189189189189,4.54054054054054,0.45945945945945943,0.0,0.5405405405405405,0.0
2010-02-14,Hong Kong,China PR,0.0,2.0,EAFF Championship,Tokyo,Japan,True,False,47,0.0,1.394892715647433,3.941690962099125,0.226728905974189,0.0,0.5405405405405406,0.0,0.773271094025811
2010-02-14,Japan,South Korea,1.0,3.0,EAFF Championship,Tokyo,Japan,False,False,48,2.0087463556851315,2.2972972972972974,0.5617103984450923,1.6216216216216215,0.6695821185617103,0.45945945945945943,0.7191448007774539,0.45945945945945943
